Designator,Mid X,Mid Y,Rotation,Layer
C1,34.5,14.25,90.0,top
D1,39.1,28.025,90.0,top
D2,41.65,28.0175,90.0,top
D3,45.75,28.0175,90.0,top
J1,27.94,2.54,90.0,top
J2,18.796,50.8,90.0,top
J3,50.8,2.54,90.0,top
J4,45.72,50.8,90.0,top
J5,23.2,39.05,90.0,top
J6,23.2,15.025,90.0,top
R1,39.1,24.025,-90.0,top
R2,41.65,24.0175,-90.0,top
R3,45.75,24.0175,-90.0,top
U1,23.2,23.2,90.0,top
