Designator,Mid X,Mid Y,Rotation,Layer
C1,35.05,-2.15,0.0,top
D1,28.7125,-11.75,180.0,top
D2,28.7125,-8.75,180.0,top
D3,28.7125,-5.75,180.0,top
J1,3.81,1.27,90.0,top
J2,3.81,16.51,90.0,top
J3,4.475,-12.55,180.0,top
J4,22.475,-12.55,180.0,top
R1,33.0,-11.75,0.0,top
R2,33.0,-8.75,0.0,top
R3,33.0,-5.75,0.0,top
U1,17.31,-12.55,180.0,top
